run_id,experiment_id,system,variant,workload,array_size,tiles,implementation_mode,target_mhz,status,validation_pass,latency_cycles,steady_interval_cycles,cycles_per_output_row,array_busy_pct,lut,ff,dsp,bram_18k_equiv,uram,wns_ns,achieved_ns,unrouted,harness,notes
e3micro_gemmini_mxuvpu_shift_xsim_S4,E3-micro,Gemmini,MXU+VPU shift,"4x4x4 int8 GEMM, bias, requantise, ReLU, clip to int8; 16 tiles back to back",4x4,16,rtl_sim,300,pass,True,22,6,1.5,66.7,2132,1378,0,0,0,0.591,2.742,0,xsim,
e3micro_gemmini_mxuvpu_shift_chiseltest_S4,E3-micro,Gemmini,MXU+VPU shift,"4x4x4 int8 GEMM, bias, requantise, ReLU, clip to int8; 16 tiles back to back",4x4,16,chisel_interpreter,300,pass,True,20,5,1.25,80.0,2132,1378,0,0,0,0.591,2.742,0,chiseltest,
e3micro_spmw_micro_xsim_S4,E3-micro,SPMW,micro,"4x4x4 int8 GEMM, bias, requantise, ReLU, clip to int8; 16 tiles back to back",4x4,16,rtl_sim,300,pass,True,219,164,41.0,2.4,11098,13585,32,0,0,0.371,2.962,0,xsim on the assembled array,256/256
e3micro_spmw_noclip_xsim_S4,E3-micro,SPMW,noclip,"4x4x4 int8 GEMM, bias, requantise, ReLU, clip to int8; 16 tiles back to back, clip removed",4x4,16,rtl_sim,300,pass,True,147,92,23.0,4.3,,,,,,,,,xsim on the assembled array,256/256
e3micro_spmw_fixed_xsim_S4,E3-micro,SPMW,fixed,"4x4x4 int8 GEMM, bias, requantise, ReLU, clip to int8; 16 tiles back to back; fixed-function datapath",4x4,16,rtl_sim,300,pass,True,57,4,1.0,100.0,5818,7568,0,0,0,0.834,2.499,0,xsim on the assembled array,256/256
e3micro_spmw_deep_xsim_S4,E3-micro,SPMW,deep,"4x4x4 int8 GEMM, bias, requantise, ReLU, clip to int8; 16 tiles back to back; depth-4 links",4x4,16,rtl_sim,300,pass,True,59,4,1.0,100.0,6775,8664,0,0,0,0.544,2.789,0,xsim on the assembled array,256/256
e3micro_gemmini_mxuvpu_shift_xsim_S8,E3-micro,Gemmini,MXU+VPU shift,"8x8x8 int8 GEMM, bias, requantise, ReLU, clip to int8; 16 tiles back to back",8x8,16,rtl_sim,300,pass,True,38,10,1.25,80.0,8042,4818,0,0,0,0.456,2.877,0,xsim,
e3micro_gemmini_mxuvpu_shift_chiseltest_S8,E3-micro,Gemmini,MXU+VPU shift,"8x8x8 int8 GEMM, bias, requantise, ReLU, clip to int8; 16 tiles back to back",8x8,16,chisel_interpreter,300,pass,True,36,9,1.125,88.9,8042,4818,0,0,0,0.456,2.877,0,chiseltest,
e3micro_spmw_micro_xsim_S8,E3-micro,SPMW,micro,"8x8x8 int8 GEMM, bias, requantise, ReLU, clip to int8; 16 tiles back to back",8x8,16,rtl_sim,300,pass,True,428,328,41.0,2.4,33678,46201,96,0,0,0.425,2.908,0,xsim on the assembled array,1024/1024
e3micro_spmw_noclip_xsim_S8,E3-micro,SPMW,noclip,"8x8x8 int8 GEMM, bias, requantise, ReLU, clip to int8; 16 tiles back to back, clip removed",8x8,16,rtl_sim,300,pass,True,284,184,23.0,4.3,,,,,,,,,xsim on the assembled array,1024/1024
e3micro_spmw_fixed_xsim_S8,E3-micro,SPMW,fixed,"8x8x8 int8 GEMM, bias, requantise, ReLU, clip to int8; 16 tiles back to back; fixed-function datapath",8x8,16,rtl_sim,300,pass,True,103,8,1.0,100.0,22922,32116,0,0,0,0.328,3.005,0,xsim on the assembled array,1024/1024
e3micro_spmw_deep_xsim_S8,E3-micro,SPMW,deep,"8x8x8 int8 GEMM, bias, requantise, ReLU, clip to int8; 16 tiles back to back; depth-4 links",8x8,16,rtl_sim,300,pass,True,105,8,1.0,100.0,27037,34488,0,0,0,0.616,2.717,0,xsim on the assembled array,1024/1024
e3micro_gemmini_mxuvpu_shift_xsim_S16,E3-micro,Gemmini,MXU+VPU shift,"16x16x16 int8 GEMM, bias, requantise, ReLU, clip to int8; 16 tiles back to back",16x16,16,rtl_sim,300,pass,True,70,18,1.125,88.9,31932,18675,0,0,0,0.245,3.088,0,xsim,
e3micro_spmw_micro_xsim_S16,E3-micro,SPMW,micro,"16x16x16 int8 GEMM, bias, requantise, ReLU, clip to int8; 16 tiles back to back",16x16,16,rtl_sim,300,pass,True,852,656,41.0,2.4,112860,168377,320,0,0,0.19,3.143,0,xsim on the assembled array,4096/4096
e3micro_spmw_noclip_xsim_S16,E3-micro,SPMW,noclip,"16x16x16 int8 GEMM, bias, requantise, ReLU, clip to int8; 16 tiles back to back, clip removed",16x16,16,rtl_sim,300,pass,True,559,368,23.0,4.3,,,,,,,,,xsim on the assembled array,4096/4096
e3micro_spmw_fixed_xsim_S16,E3-micro,SPMW,fixed,"16x16x16 int8 GEMM, bias, requantise, ReLU, clip to int8; 16 tiles back to back; fixed-function datapath",16x16,16,rtl_sim,300,pass,True,194,16,1.0,100.0,92880,130776,0,0,0,0.468,2.865,0,xsim on the assembled array,4096/4096
e3micro_spmw_deep_xsim_S16,E3-micro,SPMW,deep,"16x16x16 int8 GEMM, bias, requantise, ReLU, clip to int8; 16 tiles back to back; depth-4 links",16x16,16,rtl_sim,300,pass,True,196,16,1.0,100.0,107930,137728,0,0,0,0.289,3.044,0,xsim on the assembled array,4096/4096
